Gene Symbol	CUI Term	Phenotype Name	
PSEN1	C0002395	Alzheimer Disease	
PSEN2	C0002395	Alzheimer Disease	
A2M	C3279661	Alpha-2-macroglobulin deficiency	
A4GALT	C0599990	p phenotype	
B3GALNT1	C0599990	p phenotype	
AAAS	C0271742	Glucocorticoid deficiency with achalasia	
AAGAB	C1835662	Keratosis palmoplantaris papulosa	
AANAT	C0877792	Sleep-wake schedule disorder, delayed phase type	
CRY1	C0877792	Sleep-wake schedule disorder, delayed phase type	
AARS	C0007959	Charcot-Marie-Tooth disease, type 2N	
AARS	C0543888	Epileptic encephalopathy, early infantile, 29	
BSCL2	C0007959	Charcot-Marie-Tooth disease, type 2N	
DNAJB2	C0007959	Charcot-Marie-Tooth disease, type 2N	
DYNC1H1	C0007959	Charcot-Marie-Tooth disease, type 2N	
EGR2	C0007959	Charcot-Marie-Tooth disease, type 2N	
FGD4	C0007959	Charcot-Marie-Tooth disease, type 2N	
FIG4	C0007959	Charcot-Marie-Tooth disease, type 2N	
GARS	C0007959	Charcot-Marie-Tooth disease, type 2N	
GDAP1	C0007959	Charcot-Marie-Tooth disease, type 2N	
GJB1	C0007959	Charcot-Marie-Tooth disease, type 2N	
GNB4	C0007959	Charcot-Marie-Tooth disease, type 2N	
HK1	C0007959	Charcot-Marie-Tooth disease, type 2N	
HSPB1	C0007959	Charcot-Marie-Tooth disease, type 2N	
HSPB8	C0007959	Charcot-Marie-Tooth disease, type 2N	
IGHMBP2	C0007959	Charcot-Marie-Tooth disease, type 2N	
INF2	C0007959	Charcot-Marie-Tooth disease, type 2N	
JPH1	C0007959	Charcot-Marie-Tooth disease, type 2N	
KIF1B	C0007959	Charcot-Marie-Tooth disease, type 2N	
LITAF	C0007959	Charcot-Marie-Tooth disease, type 2N	
LRSAM1	C0007959	Charcot-Marie-Tooth disease, type 2N	
MARS	C0007959	Charcot-Marie-Tooth disease, type 2N	
MFN2	C0007959	Charcot-Marie-Tooth disease, type 2N	
MME	C0007959	Charcot-Marie-Tooth disease, type 2N	
MPZ	C0007959	Charcot-Marie-Tooth disease, type 2N	
MTMR2	C0007959	Charcot-Marie-Tooth disease, type 2N	
NDRG1	C0007959	Charcot-Marie-Tooth disease, type 2N	
NEFL	C0007959	Charcot-Marie-Tooth disease, type 2N	
PMP22	C0007959	Charcot-Marie-Tooth disease, type 2N	
PRPS1	C0007959	Charcot-Marie-Tooth disease, type 2N	
PRX	C0007959	Charcot-Marie-Tooth disease, type 2N	
RAB7A	C0007959	Charcot-Marie-Tooth disease, type 2N	
SBF1	C0007959	Charcot-Marie-Tooth disease, type 2N	
SBF2	C0007959	Charcot-Marie-Tooth disease, type 2N	
SH3TC2	C0007959	Charcot-Marie-Tooth disease, type 2N	
TRPV4	C0007959	Charcot-Marie-Tooth disease, type 2N	
YARS	C0007959	Charcot-Marie-Tooth disease, type 2N	
AARS2	C3279793	Combined oxidative phosphorylation deficiency 8	
AARS2	C4014588	Leukoencephalopathy, progressive, with ovarian failure	
AASS	C0268553	Hyperlysinemia	
AASS	C0268556	Saccharopinuria	
ABAT	C0342708	Gamma-aminobutyric acid transaminase deficiency	
ABCA1	C0020445	Familial hypercholesterolemia	
APOA2	C0020445	Familial hypercholesterolemia	
EPHX2	C0020445	Familial hypercholesterolemia	
GHR	C0020445	Familial hypercholesterolemia	
ITIH4	C0020445	Familial hypercholesterolemia	
LDLR	C0020445	Familial hypercholesterolemia	
PPP1R17	C0020445	Familial hypercholesterolemia	
ABCA1	C0039292	Tangier disease	
ABCA1	C1704429	Familial hypoalphalipoproteinemia	
APOA1	C1704429	Familial hypoalphalipoproteinemia	
ABCA1	C0020476	Hyperlipoproteinemia	
APOA2	C0020476	Hyperlipoproteinemia	
APOA5	C0020476	Hyperlipoproteinemia	
APOE	C0020476	Hyperlipoproteinemia	
EPHX2	C0020476	Hyperlipoproteinemia	
GHR	C0020476	Hyperlipoproteinemia	
ITIH4	C0020476	Hyperlipoproteinemia	
LDLR	C0020476	Hyperlipoproteinemia	
LPL	C0020476	Hyperlipoproteinemia	
PPP1R17	C0020476	Hyperlipoproteinemia	
APOB	C0020445	Familial hypercholesterolemia	
LDLRAP1	C0020445	Familial hypercholesterolemia	
PCSK9	C0020445	Familial hypercholesterolemia	
ABCA12	C1274215	Autosomal recessive congenital ichthyosis 4B	
ABCA12	C0020758	Congenital ichthyosis of skin	
ALOX12B	C0020758	Congenital ichthyosis of skin	
ALOXE3	C0020758	Congenital ichthyosis of skin	
CASP14	C0020758	Congenital ichthyosis of skin	
CERS3	C0020758	Congenital ichthyosis of skin	
LIPN	C0020758	Congenital ichthyosis of skin	
NIPAL4	C0020758	Congenital ichthyosis of skin	
PNPLA1	C0020758	Congenital ichthyosis of skin	
SDR9C7	C0020758	Congenital ichthyosis of skin	
TGM1	C0020758	Congenital ichthyosis of skin	
ABCA3	C1970456	Surfactant metabolism dysfunction, pulmonary, 3	
ABCA3	C3711368	Pulmonary Surfactant Metabolism Dysfunction	
SFTPB	C3711368	Pulmonary Surfactant Metabolism Dysfunction	
SFTPC	C3711368	Pulmonary Surfactant Metabolism Dysfunction	
ABCA4	C1855465	Stargardt disease 1	
CNGB3	C1855465	Stargardt disease 1	
ABCA4	C1858806	Cone-rod dystrophy 3	
ABCA4	C1866422	Retinitis pigmentosa 19	
ABCA4	C0242383	Age-related macular degeneration 2	
ABCA4	C0035334	Retinitis pigmentosa	
AIPL1	C0035334	Retinitis pigmentosa	
ARL6	C0035334	Retinitis pigmentosa	
BEST1	C0035334	Retinitis pigmentosa	
C2orf71	C0035334	Retinitis pigmentosa	
C8orf37	C0035334	Retinitis pigmentosa	
CA4	C0035334	Retinitis pigmentosa	
CERKL	C0035334	Retinitis pigmentosa	
CLRN1	C0035334	Retinitis pigmentosa	
CNGA1	C0035334	Retinitis pigmentosa	
CNGB1	C0035334	Retinitis pigmentosa	
CRB1	C0035334	Retinitis pigmentosa	
CRX	C0035334	Retinitis pigmentosa	
DHDDS	C0035334	Retinitis pigmentosa	
EYS	C0035334	Retinitis pigmentosa	
FAM161A	C0035334	Retinitis pigmentosa	
FSCN2	C0035334	Retinitis pigmentosa	
GUCA1B	C0035334	Retinitis pigmentosa	
IDH3B	C0035334	Retinitis pigmentosa	
IMPDH1	C0035334	Retinitis pigmentosa	
IMPG2	C0035334	Retinitis pigmentosa	
KLHL7	C0035334	Retinitis pigmentosa	
LRAT	C0035334	Retinitis pigmentosa	
MAK	C0035334	Retinitis pigmentosa	
MERTK	C0035334	Retinitis pigmentosa	
MT-ATP6	C0035334	Retinitis pigmentosa	
MT-CO3	C0035334	Retinitis pigmentosa	
MT-ND1	C0035334	Retinitis pigmentosa	
MT-ND2	C0035334	Retinitis pigmentosa	
MT-ND3	C0035334	Retinitis pigmentosa	
MT-ND4	C0035334	Retinitis pigmentosa	
MT-ND5	C0035334	Retinitis pigmentosa	
MT-ND6	C0035334	Retinitis pigmentosa	
MT-TK	C0035334	Retinitis pigmentosa	
MT-TL1	C0035334	Retinitis pigmentosa	
MT-TV	C0035334	Retinitis pigmentosa	
MT-TW	C0035334	Retinitis pigmentosa	
NR2E3	C0035334	Retinitis pigmentosa	
NRL	C0035334	Retinitis pigmentosa	
PDE6A	C0035334	Retinitis pigmentosa	
PDE6B	C0035334	Retinitis pigmentosa	
PDE6G	C0035334	Retinitis pigmentosa	
PRCD	C0035334	Retinitis pigmentosa	
PROM1	C0035334	Retinitis pigmentosa	
PRPF3	C0035334	Retinitis pigmentosa	
PRPF31	C0035334	Retinitis pigmentosa	
PRPF6	C0035334	Retinitis pigmentosa	
PRPF8	C0035334	Retinitis pigmentosa	
PRPH2	C0035334	Retinitis pigmentosa	
RBP3	C0035334	Retinitis pigmentosa	
RDH12	C0035334	Retinitis pigmentosa	
RGR	C0035334	Retinitis pigmentosa	
RHO	C0035334	Retinitis pigmentosa	
RLBP1	C0035334	Retinitis pigmentosa	
ROM1	C0035334	Retinitis pigmentosa	
RP1	C0035334	Retinitis pigmentosa	
RP2	C0035334	Retinitis pigmentosa	
RP9	C0035334	Retinitis pigmentosa	
RPE65	C0035334	Retinitis pigmentosa	
RPGR	C0035334	Retinitis pigmentosa	
SAG	C0035334	Retinitis pigmentosa	
SEMA4A	C0035334	Retinitis pigmentosa	
SNRNP200	C0035334	Retinitis pigmentosa	
SPATA7	C0035334	Retinitis pigmentosa	
TOPORS	C0035334	Retinitis pigmentosa	
TTC8	C0035334	Retinitis pigmentosa	
TULP1	C0035334	Retinitis pigmentosa	
USH2A	C0035334	Retinitis pigmentosa	
ZNF513	C0035334	Retinitis pigmentosa	
APOE	C0242383	Age-related macular degeneration 2	
ARMS2	C0242383	Age-related macular degeneration 2	
C3	C0242383	Age-related macular degeneration 2	
CFH	C0242383	Age-related macular degeneration 2	
CFHR1	C0242383	Age-related macular degeneration 2	
CFHR3	C0242383	Age-related macular degeneration 2	
CST3	C0242383	Age-related macular degeneration 2	
ERCC6	C0242383	Age-related macular degeneration 2	
FBLN5	C0242383	Age-related macular degeneration 2	
HMCN1	C0242383	Age-related macular degeneration 2	
HTRA1	C0242383	Age-related macular degeneration 2	
PLEKHA1	C0242383	Age-related macular degeneration 2	
RAX2	C0242383	Age-related macular degeneration 2	
TLR4	C0242383	Age-related macular degeneration 2	
ABCA4	C0271093	Stargardt disease	
CNGB3	C0271093	Stargardt disease	
PROM1	C0271093	Stargardt disease	
ABCB1	C1861502	Colchicine resistance	
ABCB1	C2677101	Inflammatory bowel disease 13	
ABCB11	C3489789	Progressive familial intrahepatic cholestasis 2	
ABCB11	C0149841	Benign recurrent intrahepatic cholestasis 2	
ABCB11	C1865643	Low Gamma-GT Familial Intrahepatic Cholestasis	
ATP8B1	C1865643	Low Gamma-GT Familial Intrahepatic Cholestasis	
ABCB4	C0008325	Cholecystitis	
ABCB4	C0268312	Progressive familial intrahepatic cholestasis 3	
ABCB4	C3554241	Cholestasis, intrahepatic, of pregnancy 3	
ABCB6	C0948309	Pseudohyperkalemia, familial, 2, due to red cell leak	
ABCB6	C0005810	Langereis blood group	
ABCB6	C3281027	Microphthalmia, isolated, with coloboma 7	
ABCB6	C3809394	Dyschromatosis universalis hereditaria 3	
ABCB7	C0002871	Anemia	
ABCC11	C0301619	Apocrine gland secretion, variation in	
ABCC2	C0022350	Dubin-Johnson syndrome	
ABCC6	C0473583	Pseudoxanthoma elasticum	
XYLT1	C0473583	Pseudoxanthoma elasticum	
XYLT2	C0473583	Pseudoxanthoma elasticum	
ABCC6	C0033847	Pseudoxanthoma elasticum, forme fruste	
ABCC6	C3276161	Generalized arterial calcification of infancy 2	
ABCC8	C0011860	Diabetes mellitus type 2	
AKT2	C0011860	Diabetes mellitus type 2	
CDKAL1	C0011860	Diabetes mellitus type 2	
ENPP1	C0011860	Diabetes mellitus type 2	
GCGR	C0011860	Diabetes mellitus type 2	
GCK	C0011860	Diabetes mellitus type 2	
GPD2	C0011860	Diabetes mellitus type 2	
HMGA1	C0011860	Diabetes mellitus type 2	
HNF1A	C0011860	Diabetes mellitus type 2	
HNF1B	C0011860	Diabetes mellitus type 2	
HNF4A	C0011860	Diabetes mellitus type 2	
IGF2BP2	C0011860	Diabetes mellitus type 2	
IRS1	C0011860	Diabetes mellitus type 2	
IRS2	C0011860	Diabetes mellitus type 2	
KCNJ11	C0011860	Diabetes mellitus type 2	
LIPC	C0011860	Diabetes mellitus type 2	
MAPK8IP1	C0011860	Diabetes mellitus type 2	
MTNR1B	C0011860	Diabetes mellitus type 2	
NEUROD1	C0011860	Diabetes mellitus type 2	
PAX4	C0011860	Diabetes mellitus type 2	
PDX1	C0011860	Diabetes mellitus type 2	
PPARG	C0011860	Diabetes mellitus type 2	
PPP1R3A	C0011860	Diabetes mellitus type 2	
PTPN1	C0011860	Diabetes mellitus type 2	
RETN	C0011860	Diabetes mellitus type 2	
SLC2A2	C0011860	Diabetes mellitus type 2	
SLC30A8	C0011860	Diabetes mellitus type 2	
TCF7L2	C0011860	Diabetes mellitus type 2	
WFS1	C0011860	Diabetes mellitus type 2	
ABCC8	C0271714	Leucine-induced hypoglycemia	
ABCC8	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
ABCC8	C1833104	Permanent neonatal diabetes mellitus	
GCK	C1833104	Permanent neonatal diabetes mellitus	
INS	C1833104	Permanent neonatal diabetes mellitus	
KCNJ11	C1833104	Permanent neonatal diabetes mellitus	
PDX1	C1833104	Permanent neonatal diabetes mellitus	
ABCC8	C0342273	Transient neonatal diabetes mellitus 2	
ABCC8	C0158981	Neonatal diabetes mellitus	
GCK	C0158981	Neonatal diabetes mellitus	
HYMAI	C0158981	Neonatal diabetes mellitus	
INS	C0158981	Neonatal diabetes mellitus	
KCNJ11	C0158981	Neonatal diabetes mellitus	
PDX1	C0158981	Neonatal diabetes mellitus	
PLAGL1	C0158981	Neonatal diabetes mellitus	
ZFP57	C0158981	Neonatal diabetes mellitus	
HYMAI	C0342273	Transient neonatal diabetes mellitus 2	
PLAGL1	C0342273	Transient neonatal diabetes mellitus 2	
ZFP57	C0342273	Transient neonatal diabetes mellitus 2	
GCK	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
GLUD1	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
HADH	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
HNF4A	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
INSR	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
KCNJ11	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
SLC16A1	C3888018	Persistent hyperinsulinemic hypoglycemia of infancy	
ABCC9	C0007193	Cardiomyopathy, Dilated	
ACTC1	C0007193	Cardiomyopathy, Dilated	
ACTN2	C0007193	Cardiomyopathy, Dilated	
ANKRD1	C0007193	Cardiomyopathy, Dilated	
CRYAB	C0007193	Cardiomyopathy, Dilated	
CSRP3	C0007193	Cardiomyopathy, Dilated	
DES	C0007193	Cardiomyopathy, Dilated	
DSG2	C0007193	Cardiomyopathy, Dilated	
EYA4	C0007193	Cardiomyopathy, Dilated	
FKTN	C0007193	Cardiomyopathy, Dilated	
LAMA4	C0007193	Cardiomyopathy, Dilated	
LDB3	C0007193	Cardiomyopathy, Dilated	
LMNA	C0007193	Cardiomyopathy, Dilated	
MYBPC3	C0007193	Cardiomyopathy, Dilated	
MYH6	C0007193	Cardiomyopathy, Dilated	
MYH7	C0007193	Cardiomyopathy, Dilated	
NEXN	C0007193	Cardiomyopathy, Dilated	
PLN	C0007193	Cardiomyopathy, Dilated	
PSEN1	C0007193	Cardiomyopathy, Dilated	
PSEN2	C0007193	Cardiomyopathy, Dilated	
RBM20	C0007193	Cardiomyopathy, Dilated	
SCN5A	C0007193	Cardiomyopathy, Dilated	
SDHA	C0007193	Cardiomyopathy, Dilated	
SGCD	C0007193	Cardiomyopathy, Dilated	
TAZ	C0007193	Cardiomyopathy, Dilated	
TCAP	C0007193	Cardiomyopathy, Dilated	
TMPO	C0007193	Cardiomyopathy, Dilated	
TNNC1	C0007193	Cardiomyopathy, Dilated	
TNNI3	C0007193	Cardiomyopathy, Dilated	
TNNT2	C0007193	Cardiomyopathy, Dilated	
TPM1	C0007193	Cardiomyopathy, Dilated	
TTN	C0007193	Cardiomyopathy, Dilated	
VCL	C0007193	Cardiomyopathy, Dilated	
ABCC9	C0795905	Hypertrichotic osteochondrodysplasia	
ABCC9	C3279695	Atrial fibrillation, familial, 12	
ABCC9	C0004238	Atrial Fibrillation	
GJA5	C0004238	Atrial Fibrillation	
KCNA5	C0004238	Atrial Fibrillation	
KCNE2	C0004238	Atrial Fibrillation	
KCNJ2	C0004238	Atrial Fibrillation	
KCNQ1	C0004238	Atrial Fibrillation	
ABCC9	C0340427	Familial dilated cardiomyopathy	
ACTC1	C0340427	Familial dilated cardiomyopathy	
ACTN2	C0340427	Familial dilated cardiomyopathy	
BAG3	C0340427	Familial dilated cardiomyopathy	
CRYAB	C0340427	Familial dilated cardiomyopathy	
CSRP3	C0340427	Familial dilated cardiomyopathy	
DES	C0340427	Familial dilated cardiomyopathy	
DSG2	C0340427	Familial dilated cardiomyopathy	
EYA4	C0340427	Familial dilated cardiomyopathy	
FKTN	C0340427	Familial dilated cardiomyopathy	
LAMA4	C0340427	Familial dilated cardiomyopathy	
LMNA	C0340427	Familial dilated cardiomyopathy	
MYH6	C0340427	Familial dilated cardiomyopathy	
MYH7	C0340427	Familial dilated cardiomyopathy	
NEXN	C0340427	Familial dilated cardiomyopathy	
PLN	C0340427	Familial dilated cardiomyopathy	
PSEN2	C0340427	Familial dilated cardiomyopathy	
RBM20	C0340427	Familial dilated cardiomyopathy	
SCN5A	C0340427	Familial dilated cardiomyopathy	
SDHA	C0340427	Familial dilated cardiomyopathy	
SGCD	C0340427	Familial dilated cardiomyopathy	
TAZ	C0340427	Familial dilated cardiomyopathy	
TCAP	C0340427	Familial dilated cardiomyopathy	
TMPO	C0340427	Familial dilated cardiomyopathy	
TNNC1	C0340427	Familial dilated cardiomyopathy	
TNNI3	C0340427	Familial dilated cardiomyopathy	
TNNT2	C0340427	Familial dilated cardiomyopathy	
TPM1	C0340427	Familial dilated cardiomyopathy	
TTN	C0340427	Familial dilated cardiomyopathy	
VCL	C0340427	Familial dilated cardiomyopathy	
ABCC9	C0878544	Cardiomyopathy	
ACTC1	C0878544	Cardiomyopathy	
ACTN2	C0878544	Cardiomyopathy	
ANKRD1	C0878544	Cardiomyopathy	
BAG3	C0878544	Cardiomyopathy	
CALR3	C0878544	Cardiomyopathy	
CAV3	C0878544	Cardiomyopathy	
CRYAB	C0878544	Cardiomyopathy	
CSRP3	C0878544	Cardiomyopathy	
DES	C0878544	Cardiomyopathy	
DSC2	C0878544	Cardiomyopathy	
DSG2	C0878544	Cardiomyopathy	
DSP	C0878544	Cardiomyopathy	
EYA4	C0878544	Cardiomyopathy	
FKTN	C0878544	Cardiomyopathy	
JPH2	C0878544	Cardiomyopathy	
JUP	C0878544	Cardiomyopathy	
LAMA4	C0878544	Cardiomyopathy	
LDB3	C0878544	Cardiomyopathy	
LMNA	C0878544	Cardiomyopathy	
MYBPC3	C0878544	Cardiomyopathy	
MYH6	C0878544	Cardiomyopathy	
MYH7	C0878544	Cardiomyopathy	
MYL2	C0878544	Cardiomyopathy	
MYL3	C0878544	Cardiomyopathy	
MYLK2	C0878544	Cardiomyopathy	
MYOZ2	C0878544	Cardiomyopathy	
NEXN	C0878544	Cardiomyopathy	
PKP2	C0878544	Cardiomyopathy	
PLN	C0878544	Cardiomyopathy	
PRKAG2	C0878544	Cardiomyopathy	
PSEN1	C0878544	Cardiomyopathy	
PSEN2	C0878544	Cardiomyopathy	
RBM20	C0878544	Cardiomyopathy	
RYR2	C0878544	Cardiomyopathy	
SCN5A	C0878544	Cardiomyopathy	
SDHA	C0878544	Cardiomyopathy	
SGCD	C0878544	Cardiomyopathy	
TAZ	C0878544	Cardiomyopathy	
TCAP	C0878544	Cardiomyopathy	
TGFB3	C0878544	Cardiomyopathy	
TMEM43	C0878544	Cardiomyopathy	
TMPO	C0878544	Cardiomyopathy	
TNNC1	C0878544	Cardiomyopathy	
TNNI3	C0878544	Cardiomyopathy	
TNNT2	C0878544	Cardiomyopathy	
TPM1	C0878544	Cardiomyopathy	
TTN	C0878544	Cardiomyopathy	
VCL	C0878544	Cardiomyopathy	
ABCD1	C0162309	Adrenoleukodystrophy	
ABCD3	C2827432	Bile acid synthesis defect, congenital, 5	
ABCD4	C3553915	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE	
ABCD4	C0025517	Disorders of Intracellular Cobalamin Metabolism	
LMBRD1	C0025517	Disorders of Intracellular Cobalamin Metabolism	
MMACHC	C0025517	Disorders of Intracellular Cobalamin Metabolism	
MMADHC	C0025517	Disorders of Intracellular Cobalamin Metabolism	
MTR	C0025517	Disorders of Intracellular Cobalamin Metabolism	
MTRR	C0025517	Disorders of Intracellular Cobalamin Metabolism	
ABCG2	C0041980	Uric acid concentration, serum, quantitative trait locus 1	
ABCG2	C0005810	Langereis blood group	
ABCG5	C0342907	Sitosterolemia	
ABCG8	C0342907	Sitosterolemia	
ABCG8	C0012634	Gallbladder disease 4	
ABHD12	C0152025	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	
ABHD5	C0268238	Triglyceride storage disease with ichthyosis	
ABO	C0000778	ABO blood group system	
ACACA	C0001026	Acetyl-CoA: carboxylase deficiency	
ACAD8	C1969809	Deficiency of isobutyryl-CoA dehydrogenase	
ACAD9	C0050688	Acyl-CoA dehydrogenase family, member 9, deficiency of	
ACADM	C0220710	Medium-chain acyl-coenzyme A dehydrogenase deficiency	
ACADM	C0268634	Disorder of fatty acid metabolism	
ACADVL	C0268634	Disorder of fatty acid metabolism	
CPT1A	C0268634	Disorder of fatty acid metabolism	
CPT2	C0268634	Disorder of fatty acid metabolism	
ETFA	C0268634	Disorder of fatty acid metabolism	
ETFB	C0268634	Disorder of fatty acid metabolism	
ETFDH	C0268634	Disorder of fatty acid metabolism	
HADHA	C0268634	Disorder of fatty acid metabolism	
HADHB	C0268634	Disorder of fatty acid metabolism	
SLC22A5	C0268634	Disorder of fatty acid metabolism	
SLC25A20	C0268634	Disorder of fatty acid metabolism	
ACADS	C0342783	Deficiency of butyryl-CoA dehydrogenase	
ACADSB	C1864912	Deficiency of 2-methylbutyryl-CoA dehydrogenase	
ACADVL	C3887523	Very long chain acyl-CoA dehydrogenase deficiency	
ACAN	C0029421	Osteochondritis dissecans	
ACAN	C0026707	Spondyloepiphyseal dysplasia, kimberley type	
ACAN	C2748544	Spondyloepimetaphyseal dysplasia, Aggrecan type	
ACAT1	C1536500	Deficiency of acetyl-CoA acetyltransferase	
ACAT1	C1263739	Disorder of organic acid metabolism	
BCKDHA	C1263739	Disorder of organic acid metabolism	
BCKDHB	C1263739	Disorder of organic acid metabolism	
DBT	C1263739	Disorder of organic acid metabolism	
GCDH	C1263739	Disorder of organic acid metabolism	
HMGCL	C1263739	Disorder of organic acid metabolism	
IVD	C1263739	Disorder of organic acid metabolism	
MCCC1	C1263739	Disorder of organic acid metabolism	
MCCC2	C1263739	Disorder of organic acid metabolism	
MCEE	C1263739	Disorder of organic acid metabolism	
MMAA	C1263739	Disorder of organic acid metabolism	
MMAB	C1263739	Disorder of organic acid metabolism	
MMACHC	C1263739	Disorder of organic acid metabolism	
MMADHC	C1263739	Disorder of organic acid metabolism	
MUT	C1263739	Disorder of organic acid metabolism	
PCCA	C1263739	Disorder of organic acid metabolism	
PCCB	C1263739	Disorder of organic acid metabolism	
ACAT2	C0342735	Acetyl-CoA acetyltransferase-2 deficiency	
ACD	C0265965	Dyskeratosis congenita, autosomal dominant 6	
ACE	C0007222	Cardiovascular Diseases	
ACE	C3281105	Hemorrhage, intracerebral, susceptibility to	
COL4A1	C3281105	Hemorrhage, intracerebral, susceptibility to	
COL4A2	C3281105	Hemorrhage, intracerebral, susceptibility to	
ACE	C0235831	Renal dysplasia	
AGT	C0235831	Renal dysplasia	
AGTR1	C0235831	Renal dysplasia	
REN	C0235831	Renal dysplasia	
ACE	C0443258	Microvascular complications of diabetes 3	
ACHE	C0443844	Antigen in Cartwright blood group system	
ACKR1	C0013278	Duffy Blood group system	
ACKR1	C0012655	Susceptibility to malaria	
CD36	C0012655	Susceptibility to malaria	
CISH	C0012655	Susceptibility to malaria	
CR1	C0012655	Susceptibility to malaria	
FCGR2A	C0012655	Susceptibility to malaria	
FCGR2B	C0012655	Susceptibility to malaria	
G6PD	C0012655	Susceptibility to malaria	
GYPA	C0012655	Susceptibility to malaria	
GYPB	C0012655	Susceptibility to malaria	
GYPC	C0012655	Susceptibility to malaria	
HBB	C0012655	Susceptibility to malaria	
ICAM1	C0012655	Susceptibility to malaria	
NOS2	C0012655	Susceptibility to malaria	
SLC4A1	C0012655	Susceptibility to malaria	
TIRAP	C0012655	Susceptibility to malaria	
TNF	C0012655	Susceptibility to malaria	
ACKR1	C2676078	White blood cell count quantitative trait locus 1	
ACO2	C3281192	Infantile cerebellar-retinal degeneration	
ACO2	C4225384	Optic atrophy 9	
ACOX1	C0342871	Pseudoneonatal adrenoleukodystrophy	
ACOX2	C2827432	Bile acid synthesis defect, congenital, 5	
ACP2	C0268410	Acid phosphatase deficiency	
ACP4	C0002452	Amelogenesis imperfecta, type IJ	
ACP5	C1842763	Spondyloenchondrodysplasia with immune dysregulation	
ACSF3	C3280314	Combined malonic and methylmalonic aciduria	
ACSL4	C0025362	Mental retardation 63, X-linked	
ACTA1	C0546264	Congenital myopathy with fiber type disproportion	
MYH7	C0546264	Congenital myopathy with fiber type disproportion	
RYR1	C0546264	Congenital myopathy with fiber type disproportion	
SELENON	C0546264	Congenital myopathy with fiber type disproportion	
TPM2	C0546264	Congenital myopathy with fiber type disproportion	
TPM3	C0546264	Congenital myopathy with fiber type disproportion	
ACTA1	C1834336	Nemaline myopathy 3	
ACTA1	C0026848	Myopathy, scapulohumeroperoneal	
ACTA1	C0206157	Nemaline myopathy	
CFL2	C0206157	Nemaline myopathy	
KBTBD13	C0206157	Nemaline myopathy	
KLHL40	C0206157	Nemaline myopathy	
NEB	C0206157	Nemaline myopathy	
TNNT1	C0206157	Nemaline myopathy	
TPM2	C0206157	Nemaline myopathy	
